Rank Based on Total Shipped,Game Name,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
166,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,,,,22.60m,,,,,,28th Feb 17,11th Feb 22
167,Microsoft Flight Simulator,Microsoft,Sublogic,,,,22.20m,,,,,,01st Nov 82,06th Oct 22
168,SpongeBob SquarePants,THQ,Vicarious Visions,,,,22.00m,,,,,,15th Mar 01,07th Mar 20
169,Yu-Gi-Oh!,Konami,Konami,,,,21.80m,,,,,,20th Mar 02,12th Jan 21
170,Castlevania,Konami,Konami,,,,21.63m,,,,,,26th Sep 86,03rd Mar 20
171,Dynasty Warriors,KOEI,Omega Force,,,,21.28m,,,,,,30th Jun 97,24th Mar 20
172,Wii Fit Plus,Nintendo,Nintendo EAD,,8,,21.13m,,,,,,04th Oct 09,
173,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,9,9.7,10,21.02m,,,,,,20th Apr 18,26th May 22
174,Battlefield 1,Electronic Arts,EA DICE,,9,,21.00m,,,,,,21st Oct 16,20th Dec 23
175,Imagine,Ubisoft,Ubisoft,,,,21.00m,,,,,,01st Oct 07,10th Feb 20
176,Final Fantasy X/X-2,Square,Square,,8.5,,20.80m,,,,,,17th Dec 01,19th Oct 20
177,Super Mario World,Nintendo,Nintendo EAD,,8.5,,20.61m,,,,,,13th Aug 91,10th Aug 18
178,The Lord of the Rings,Melbourne House,Beam Software,,,,20.57m,,,,,,01st Nov 82,09th Mar 20
179,Elden Ring,Bandai Namco Entertainment,From Software,,9.5,,20.50m,,,,,,25th Feb 22,28th Feb 22
180,Super Mario Party,Nintendo,"Nd Cube Co., Ltd.",7,7.3,,20.34m,,,,,,05th Oct 18,19th Nov 18
181,Grand Theft Auto V,Rockstar Games,Rockstar North,9.5,9.4,,,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13,
182,The Legend of Zelda: Tears of the Kingdom,Nintendo,Nintendo,9.5,,8.6,20.28m,,,,,,12th May 23,13th Sep 22
183,Super Robot Wars,Bandai,Banpresto,,,,20.24m,,,,,,20th Apr 91,19th Feb 20
184,Dying Light,Warner Bros. Interactive Entertainment,Techland,,8.1,,20.00m,,,,,,27th Jan 15,22nd Jul 21
185,FIFA 19,EA Sports,EA Vancouver,,,,20.00m,,,,,,28th Sep 18,15th Oct 20
186,Frogger,Konami,Konami,,,,20.00m,,,,,,23rd Oct 81,26th Feb 20
187,Gundam,Bandai,Banpresto,,,,20.00m,,,,,,02nd May 97,08th Mar 20
188,Lemmings,Psygnosis,DMA Design,,,,20.00m,,,,,,14th Feb 91,14th Mar 20
189,Prince of Persia,Ubisoft,Broderbund,,,,20.00m,,,,,,03rd Aug 89,09th Feb 20
190,Rayman Raving Rabbids,Ubisoft,Ubisoft,,,,20.00m,,,,,,19th Nov 06,10th Feb 20
191,SimCity,Maxis,Maxis,,,,20.00m,,,,,,02nd Feb 89,17th Feb 20
192,Simple,Agetec,Bandai Namco Studios,,,,20.00m,,,,,,30th Nov 02,12th Jan 21
193,SingStar,Sony Interactive Entertainment,London Studios,,,,20.00m,,,,,,21st May 04,18th Feb 20
194,Sniper Elite,Rebellion Developments,Rebellion Developments,,,,20.00m,,,,,,18th Oct 05,13th Feb 20
195,Tom Clancy's The Division,Ubisoft,Massive Entertainment,,,,20.00m,,,,,,08th Mar 16,14th May 20
196,Watch Dogs,Ubisoft,Ubisoft,,,,20.00m,,,,,,27th May 14,20th Mar 20
197,Grand Theft Auto V,Rockstar Games,Rockstar North,,9.7,,,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14,03rd Jan 18
198,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,,9.1,8,19.30m,,,,,,28th Feb 17,24th Sep 20
199,StarCraft,Blizzard Entertainment,Blizzard Entertainment,,,,19.10m,,,,,,31st Mar 98,18th Feb 20
200,Brain Age: Train Your Brain in Minutes a Day,Nintendo,Nintendo SDD,,8.1,,19.01m,,,,,,17th Apr 06,
201,Ace Combat,Namco,Namco,,,,19.00m,,,,,,09th Sep 95,11th Mar 20
202,Borderlands 3,2K Games,Gearbox Software,,,,19.00m,,,,,,13th Sep 19,27th Oct 20
203,Call of Duty: Ghosts,Activision,Infinity Ward,,8.1,,19.00m,,,,,,05th Nov 13,14th Oct 20
204,Driver,GT Interactive,Ubisoft Reflections,,,,19.00m,,,,,,30th Jun 99,09th Feb 20
205,WarCraft,Blizzard Entertainment,Blizzard Entertainment,,,,19.00m,,,,,,23rd Nov 94,21st Mar 20
206,Mario Kart 7,Nintendo,Nintendo EAD / Retro Studios,9,8.2,,18.98m,,,,,,04th Dec 11,
207,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,,9.2,,18.65m,,,,,,10th May 16,23rd Sep 18
208,The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,,9.5,,18.63m,,,,,,29th Jul 14,24th Sep 18
209,Midnight Club,Rockstar Games,Rockstar San Diego,,,,18.50m,,,,,,26th Oct 00,15th Feb 20
210,Super Mario Land,Nintendo,Nintendo R&D1,,,,18.14m,,,,,,01st Aug 89,
211,Metroid,Nintendo,Nintendo,,,,18.03m,,,,,,15th Aug 87,19th Feb 20
212,Professor Layton,Nintendo,Level-5,,,,18.00m,,,,,,10th Feb 08,04th Feb 20
213,The Elder Scrolls Online,Bethesda Softworks,ZeniMax Online Studios,,6.6,,18.00m,,,,,,04th Apr 14,27th Oct 20
214,Need for Speed: Most Wanted,Electronic Arts,EA Canada,,,,17.80m,,,,,,15th Nov 05,20th Oct 20
215,Pokémon Diamond / Pearl Version,Nintendo,Game Freak,,8.6,,17.67m,,,,,,28th Apr 07,
216,Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,,,,17.50m,,,,,,29th Oct 02,14th Oct 20
217,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar North,,9.5,,17.30m,,,,,,26th Oct 04,
218,Super Mario Bros. 3,Nintendo,Nintendo R&D2,,,,17.28m,,,,,,12th Feb 90,09th Aug 18
219,Pokemon Mystery Dungeon,Nintendo,Chunsoft,,,,17.26m,,,,,,18th Sep 06,03rd Mar 20
220,RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions,,,,17.23m,,,,,,22nd Mar 99,11th Mar 20
221,New Super Mario Bros. U Deluxe,Nintendo,Nintendo EPD,,,6.6,17.20m,,,,,,11th Jan 19,02nd Aug 20
222,Momotaro Dentetsu,Konami,Hudson Soft,,,,17.00m,,,,,,02nd Dec 88,09th Mar 20
223,SoulCalibur,Namco,Project Soul,,,,17.00m,,,,,,20th Dec 96,12th Mar 20
224,Zuma,PopCap Games,Oberon Media,,,,17.00m,,,,,,12th Dec 03,16th Feb 20
225,Zuma,PopCap Games,Oberon Media,,,,17.00m,,,,,,12th Dec 03,30th Nov 20
226,Garry's Mod,Valve,Facepunch Studios,,,,16.90m,,,,,,29th Nov 06,25th Dec 19
227,Fire Emblem,Nintendo,Intelligent Systems,,,,16.75m,,,,,,03rd Nov 03,23rd Jul 21
228,Mario Tennis,Nintendo,Nintendo,,,,16.75m,,,,,,14th Aug 95,21st Feb 20
229,Pokémon X/Y,Nintendo,Game Freak,8.7,8.9,9.3,16.72m,,,,,,12th Oct 13,06th Jan 18
230,Hitman,Eidos Interactive,IO Interactive,,,,16.59m,,,,,,21st Nov 00,28th Feb 20
231,Deus Ex,Eidos Interactive,Ion Storm,,,,16.40m,,,,,,17th Jun 00,28th Feb 20
232,Pokémon Sun/Moon,Nintendo,Game Freak,,9,,16.32m,,,,,,18th Nov 16,03rd Aug 18
233,Pokémon Ruby / Sapphire Version,Nintendo,Game Freak,,8.8,,16.22m,,,,,,17th Mar 03,
234,Metro,THQ,4a-games,,,,16.20m,,,,,,16th Mar 10,14th Feb 21
235,Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,,9.6,,,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02,
236,Dead Island,Deep Silver,Techland,,,,16.00m,,,,,,06th Sep 11,20th Mar 20
237,Dead Rising,Capcom,Capcom,,,,16.00m,,,,,,08th Aug 06,03rd Feb 20
238,FIFA 11,EA Sports,EA Canada,,,,16.00m,,,,,,28th Sep 10,15th Oct 20
239,Mass Effect,Electronic Arts,BioWare,,,,16.00m,,,,,,20th Nov 07,24th Feb 20
240,The Sims,Electronic Arts,Maxis,,,,16.00m,,,,,,04th Feb 00,18th Oct 20
241,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,,15.90m,,,,,,19th May 15,04th May 18
242,Grand Theft Auto V,Rockstar Games,Rockstar North,,,,,15.86m,9.06m,5.33m,0.06m,1.42m,17th Sep 13,
243,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,,9,,15.70m,,,,,,05th Nov 07,14th Oct 20
244,Call of Duty: World at War,Activision,Treyarch,,8.9,,15.70m,,,,,,11th Nov 08,29th Nov 20
245,Pokémon Black / White Version,Nintendo,Game Freak,8.9,8.6,9,15.64m,,,,,,06th Mar 11,
246,Need for Speed: Carbon,Electronic Arts,EA Canada,,,,15.60m,,,,,,30th Oct 06,30th Aug 21
